PersonaA,PersonaB,ConflictType,Req1,Req2,Note,Req1_Title,Req1_Summary,Req2_Title,Req2_Summary
P-001,P-005,Functional,US-006,US-104,"The user story from Persona A allows for user-generated event submissions, which may lead to a flood of events that the system needs to manage, potentially conflicting with the scheduled video calls prioritized by Persona B that rely on a more controlled and organized approach to social engagement.",Community Engagement Toolkit – User-Generated Event Submissions,"As a developer, I want to enable elderly users to submit community event ideas through the ALFRED platform so that they can actively participate in social activities and foster connections with their peers.",Family Connection Tools - Scheduled Video Calls for Social Engagement,"As a retired social worker, I want to schedule video calls with my family and friends easily, so that I can maintain my social connections despite my limited mobility."
P-001,P-007,Functional,US-006,US-161,"The user story from Persona A allows for user-generated event submissions, which may lead to an overwhelming number of social event suggestions. This conflicts with Persona B's desire to receive event suggestions based on interests and availability without feeling monitored or overwhelmed.",Community Engagement Toolkit – User-Generated Event Submissions,"As a developer, I want to enable elderly users to submit community event ideas through the ALFRED platform so that they can actively participate in social activities and foster connections with their peers.",Interest-Based Community Interaction – Connecting Users with Similar Hobbies,"As an active retiree with early-stage cognitive concerns, I want to connect with others who share my interests in cycling, photography, and woodworking, so that I can participate in community activities and maintain my cognitive abilities without feeling monitored."
P-001,P-007,Functional,US-007,US-160,"The user story from Persona A proposes a voice-activated feature for scheduling video calls, which may imply a structured and frequent engagement model. This conflicts with Persona B's request for scheduled video calls without feeling overwhelmed or monitored, suggesting a need for flexibility and user control.",Voice-Activated Video Call Scheduling,"As a developer, I want to implement a voice-activated feature for scheduling video calls within the ALFRED system so that elderly users can easily connect with caregivers and family members without needing to navigate complex interfaces.",Scheduled Video Calls with Family Members,"As an active retiree with early-stage cognitive concerns, I want to have scheduled video calls with my family members so that I can stay connected and participate in family activities without feeling overwhelmed or monitored."
P-002,P-007,Ethical,US-159,US-161,"Persona A seeks event suggestions to engage socially, while Persona B emphasizes maintaining connections without feeling monitored. This presents a conflict in balancing the proactive engagement with the user's desire for autonomy and absence of oversight.",,,Interest-Based Community Interaction – Connecting Users with Similar Hobbies,"As an active retiree with early-stage cognitive concerns, I want to connect with others who share my interests in cycling, photography, and woodworking, so that I can participate in community activities and maintain my cognitive abilities without feeling monitored."
P-002,P-007,Ethical,US-033,US-160,"Both personas wish to schedule video calls, but Persona A aims for easy scheduling while Persona B desires to avoid feeling monitored, creating a conflict in how the system should approach notifications and reminders for these calls.",Scheduled Video Calls with Family Members,"As a tech-curious older adult with mild mobility issues, I want to schedule video calls with my family members easily so that I can stay connected with them without feeling overwhelmed by technology.",Scheduled Video Calls with Family Members,"As an active retiree with early-stage cognitive concerns, I want to have scheduled video calls with my family members so that I can stay connected and participate in family activities without feeling overwhelmed or monitored."
P-005,P-007,Ethical,US-103,US-159,"Persona A seeks social engagement recommendations to stay connected, while Persona B desires similar recommendations without feeling monitored. This creates a conflict in how engagement suggestions are framed and delivered, potentially impacting user comfort and perception of privacy.",Social Engagement Recommendations,"As a retired social worker, I want ALFRED to suggest social events based on my interests and availability so that I can stay socially connected and engaged despite my limited mobility.",Social Engagement Recommendations – Event Suggestions Based on Interests and Availability,"As an active retiree with early-stage cognitive concerns, I want ALFRED to suggest social events based on my interests and availability so that I can maintain my social connections without feeling monitored."
P-005,P-007,Ethical,US-104,US-160,"Both personas want to schedule video calls, but Persona B emphasizes avoiding feelings of being monitored. This difference in focus may lead to conflicting design requirements around how calls are scheduled and the information presented to users.",Family Connection Tools - Scheduled Video Calls for Social Engagement,"As a retired social worker, I want to schedule video calls with my family and friends easily, so that I can maintain my social connections despite my limited mobility.",Scheduled Video Calls with Family Members,"As an active retiree with early-stage cognitive concerns, I want to have scheduled video calls with my family members so that I can stay connected and participate in family activities without feeling overwhelmed or monitored."
P-005,P-007,Ethical,US-105,US-161,"While both personas want to connect through shared interests, Persona B explicitly states the need to do so without feeling monitored. This creates a tension in how community interactions are facilitated and perceived by the users.",Interest-Based Community Interaction – Facilitating Local Meetups and Clubs,"As a retired social worker, I want ALFRED to suggest local meetups and clubs based on my interests so that I can stay socially connected and continue volunteering despite my limited mobility.",Interest-Based Community Interaction – Connecting Users with Similar Hobbies,"As an active retiree with early-stage cognitive concerns, I want to connect with others who share my interests in cycling, photography, and woodworking, so that I can participate in community activities and maintain my cognitive abilities without feeling monitored."
P-005,P-007,Ethical,US-106,US-162,"Both want storytelling prompts for social connection, but Persona B wants to share memories without feeling monitored. This difference could lead to conflicts in how the prompts are designed and the context in which they are presented.",Memory Lane Features – Storytelling Prompts for Social Connection,"As a retired social worker, I want ALFRED to provide me with storytelling prompts that encourage sharing my experiences and memories, so that I can maintain social connections and engage meaningfully with my family and friends despite my limited mobility.",Memory Lane Features – Storytelling Prompts for Shared Experiences,"As an active retiree with early-stage cognitive concerns, I want to receive storytelling prompts that encourage me to share my memories with family, so that I can maintain my cognitive abilities and strengthen my family connections without feeling monitored."
P-005,P-007,Ethical,US-107,US-163,"Both personas want to utilize voice-to-text messaging, but Persona B's requirement is to do so without feeling overwhelmed or monitored, which could conflict with the implementation of this feature, affecting user experience.",Flexible Communication Modes – Voice-to-Text Messaging for Social Engagement,"As a retired social worker, I want to use voice-to-text messaging to easily communicate with my family and friends, so that I can stay socially connected despite my limited mobility.",Voice-to-Text Messaging for Social Inclusion,"As an active retiree, I want to use voice-to-text messaging to easily communicate with my family and friends so that I can maintain social connections without feeling monitored or overwhelmed by technology."
